DAE-11 AIRFOIL
# augmentation_status: original_real_uiuc_coordinates_no_augmentation_required
# original_point_count: 81
# final_point_count: 81
# point labels: each coordinate is preceded by point_type; real means original file coordinate, augmented means inserted interpolation coordinate
# point_type: real; original_order: 1
1.0000000 -0.0000000
# point_type: real; original_order: 2
0.9864834 0.0025379
# point_type: real; original_order: 3
0.9700075 0.0056151
# point_type: real; original_order: 4
0.9478748 0.0100446
# point_type: real; original_order: 5
0.9186085 0.0163798
# point_type: real; original_order: 6
0.8879669 0.0235641
# point_type: real; original_order: 7
0.8579515 0.0311284
# point_type: real; original_order: 8
0.8279501 0.0391518
# point_type: real; original_order: 9
0.7977796 0.0476052
# point_type: real; original_order: 10
0.7673512 0.0564167
# point_type: real; original_order: 11
0.7366037 0.0655023
# point_type: real; original_order: 12
0.7056532 0.0747378
# point_type: real; original_order: 13
0.6752228 0.0837204
# point_type: real; original_order: 14
0.6454374 0.0922048
# point_type: real; original_order: 15
0.6162661 0.0999911
# point_type: real; original_order: 16
0.5875807 0.1069073
# point_type: real; original_order: 17
0.5591414 0.1128383
# point_type: real; original_order: 18
0.5306811 0.1177742
# point_type: real; original_order: 19
0.5020466 0.1217780
# point_type: real; original_order: 20
0.4732231 0.1248878
# point_type: real; original_order: 21
0.4442736 0.1271093
# point_type: real; original_order: 22
0.4152550 0.1284338
# point_type: real; original_order: 23
0.3861833 0.1288502
# point_type: real; original_order: 24
0.3570916 0.1283815
# point_type: real; original_order: 25
0.3280559 0.1270426
# point_type: real; original_order: 26
0.2991491 0.1248017
# point_type: real; original_order: 27
0.2704253 0.1216576
# point_type: real; original_order: 28
0.2419395 0.1175854
# point_type: real; original_order: 29
0.2137908 0.1125580
# point_type: real; original_order: 30
0.1861180 0.1065505
# point_type: real; original_order: 31
0.1590953 0.0995398
# point_type: real; original_order: 32
0.1329336 0.0915270
# point_type: real; original_order: 33
0.1079150 0.0825170
# point_type: real; original_order: 34
0.0844076 0.0725648
# point_type: real; original_order: 35
0.0628794 0.0618045
# point_type: real; original_order: 36
0.0439665 0.0505399
# point_type: real; original_order: 37
0.0283640 0.0393002
# point_type: real; original_order: 38
0.0164960 0.0287274
# point_type: real; original_order: 39
0.0082926 0.0193346
# point_type: real; original_order: 40
0.0032916 0.0114678
# point_type: real; original_order: 41
0.0007570 0.0051431
# point_type: real; original_order: 42
0.0000000 0.0000000
# point_type: real; original_order: 43
0.0004919 -0.0034860
# point_type: real; original_order: 44
0.0020116 -0.0064284
# point_type: real; original_order: 45
0.0044148 -0.0087908
# point_type: real; original_order: 46
0.0080862 -0.0107002
# point_type: real; original_order: 47
0.0141149 -0.0123747
# point_type: real; original_order: 48
0.0245731 -0.0138784
# point_type: real; original_order: 49
0.0414512 -0.0148893
# point_type: real; original_order: 50
0.0648951 -0.0150664
# point_type: real; original_order: 51
0.0926077 -0.0144625
# point_type: real; original_order: 52
0.1225845 -0.0132928
# point_type: real; original_order: 53
0.1536785 -0.0117470
# point_type: real; original_order: 54
0.1853836 -0.0099672
# point_type: real; original_order: 55
0.2174497 -0.0080524
# point_type: real; original_order: 56
0.2497389 -0.0060686
# point_type: real; original_order: 57
0.2821721 -0.0040608
# point_type: real; original_order: 58
0.3146113 -0.0020681
# point_type: real; original_order: 59
0.3469645 -0.0001193
# point_type: real; original_order: 60
0.3792396 0.0017525
# point_type: real; original_order: 61
0.4114338 0.0035362
# point_type: real; original_order: 62
0.4435539 0.0052000
# point_type: real; original_order: 63
0.4756050 0.0067337
# point_type: real; original_order: 64
0.5075752 0.0081154
# point_type: real; original_order: 65
0.5394692 0.0093041
# point_type: real; original_order: 66
0.5713123 0.0102848
# point_type: real; original_order: 67
0.6031123 0.0110455
# point_type: real; original_order: 68
0.6348824 0.0115701
# point_type: real; original_order: 69
0.6666354 0.0118657
# point_type: real; original_order: 70
0.6983765 0.0119312
# point_type: real; original_order: 71
0.7301015 0.0117728
# point_type: real; original_order: 72
0.7617894 0.0113933
# point_type: real; original_order: 73
0.7934214 0.0107738
# point_type: real; original_order: 74
0.8249984 0.0099002
# point_type: real; original_order: 75
0.8565623 0.0087586
# point_type: real; original_order: 76
0.8883292 0.0073310
# point_type: real; original_order: 77
0.9200152 0.0056143
# point_type: real; original_order: 78
0.9479936 0.0038679
# point_type: real; original_order: 79
0.9696512 0.0023497
# point_type: real; original_order: 80
0.9862833 0.0010768
# point_type: real; original_order: 81
1.0000000 0.0000000
