E205  (10.48%)
# augmentation_status: augmented_from_real_uiuc_coordinates
# augmentation_method: preserve_original_points_and_insert_arc_length_linear_interpolation_points
# original_point_count: 61
# final_point_count: 120
# point labels: each coordinate is preceded by point_type; real means original file coordinate, augmented means inserted interpolation coordinate
# point_type: real; original_order: 1
1.0000000 0.0000000
# point_type: real; original_order: 2
0.9965500 0.0003900
# point_type: real; original_order: 3
0.9864900 0.0017400
# point_type: augmented; method: linear_interpolation; between_original: 3-4; t: 0.500000
0.9784900 0.0030050
# point_type: real; original_order: 4
0.9704900 0.0042700
# point_type: augmented; method: linear_interpolation; between_original: 4-5; t: 0.500000
0.9598250 0.0060250
# point_type: real; original_order: 5
0.9491600 0.0077800
# point_type: augmented; method: linear_interpolation; between_original: 5-6; t: 0.500000
0.9360050 0.0098700
# point_type: real; original_order: 6
0.9228500 0.0119600
# point_type: augmented; method: linear_interpolation; between_original: 6-7; t: 0.500000
0.9073000 0.0143200
# point_type: real; original_order: 7
0.8917500 0.0166800
# point_type: augmented; method: linear_interpolation; between_original: 7-8; t: 0.500000
0.8739950 0.0193350
# point_type: real; original_order: 8
0.8562400 0.0219900
# point_type: augmented; method: linear_interpolation; between_original: 8-9; t: 0.500000
0.8365400 0.0249250
# point_type: real; original_order: 9
0.8168400 0.0278600
# point_type: augmented; method: linear_interpolation; between_original: 9-10; t: 0.500000
0.7954800 0.0310250
# point_type: real; original_order: 10
0.7741200 0.0341900
# point_type: augmented; method: linear_interpolation; between_original: 10-11; t: 0.500000
0.7513900 0.0375350
# point_type: real; original_order: 11
0.7286600 0.0408800
# point_type: augmented; method: linear_interpolation; between_original: 11-12; t: 0.500000
0.7048700 0.0443250
# point_type: real; original_order: 12
0.6810800 0.0477700
# point_type: augmented; method: linear_interpolation; between_original: 12-13; t: 0.500000
0.6565600 0.0512350
# point_type: real; original_order: 13
0.6320400 0.0547000
# point_type: augmented; method: linear_interpolation; between_original: 13-14; t: 0.333333
0.6154200 0.0569567
# point_type: augmented; method: linear_interpolation; between_original: 13-14; t: 0.666667
0.5988000 0.0592133
# point_type: real; original_order: 14
0.5821800 0.0614700
# point_type: augmented; method: linear_interpolation; between_original: 14-15; t: 0.333333
0.5655100 0.0635867
# point_type: augmented; method: linear_interpolation; between_original: 14-15; t: 0.666667
0.5488400 0.0657033
# point_type: real; original_order: 15
0.5321700 0.0678200
# point_type: augmented; method: linear_interpolation; between_original: 15-16; t: 0.500000
0.5074100 0.0706200
# point_type: real; original_order: 16
0.4826500 0.0734200
# point_type: augmented; method: linear_interpolation; between_original: 16-17; t: 0.500000
0.4583750 0.0756350
# point_type: real; original_order: 17
0.4341000 0.0778500
# point_type: augmented; method: linear_interpolation; between_original: 17-18; t: 0.500000
0.4104500 0.0793300
# point_type: real; original_order: 18
0.3868000 0.0808100
# point_type: augmented; method: linear_interpolation; between_original: 18-19; t: 0.500000
0.3639050 0.0814750
# point_type: real; original_order: 19
0.3410100 0.0821400
# point_type: augmented; method: linear_interpolation; between_original: 19-20; t: 0.500000
0.3190000 0.0819550
# point_type: real; original_order: 20
0.2969900 0.0817700
# point_type: augmented; method: linear_interpolation; between_original: 20-21; t: 0.500000
0.2759750 0.0807350
# point_type: real; original_order: 21
0.2549600 0.0797000
# point_type: augmented; method: linear_interpolation; between_original: 21-22; t: 0.500000
0.2350200 0.0778800
# point_type: real; original_order: 22
0.2150800 0.0760600
# point_type: augmented; method: linear_interpolation; between_original: 22-23; t: 0.500000
0.1963600 0.0735850
# point_type: real; original_order: 23
0.1776400 0.0711100
# point_type: augmented; method: linear_interpolation; between_original: 23-24; t: 0.500000
0.1603300 0.0680900
# point_type: real; original_order: 24
0.1430200 0.0650700
# point_type: augmented; method: linear_interpolation; between_original: 24-25; t: 0.500000
0.1272950 0.0615900
# point_type: real; original_order: 25
0.1115700 0.0581100
# point_type: augmented; method: linear_interpolation; between_original: 25-26; t: 0.500000
0.0975850 0.0542550
# point_type: real; original_order: 26
0.0836000 0.0504000
# point_type: augmented; method: linear_interpolation; between_original: 26-27; t: 0.500000
0.0714850 0.0462550
# point_type: real; original_order: 27
0.0593700 0.0421100
# point_type: augmented; method: linear_interpolation; between_original: 27-28; t: 0.500000
0.0492300 0.0377750
# point_type: real; original_order: 28
0.0390900 0.0334400
# point_type: augmented; method: linear_interpolation; between_original: 28-29; t: 0.500000
0.0310050 0.0290250
# point_type: real; original_order: 29
0.0229200 0.0246100
# point_type: real; original_order: 30
0.0109700 0.0158900
# point_type: real; original_order: 31
0.0033100 0.0076600
# point_type: real; original_order: 32
0.0000200 0.0005500
# point_type: real; original_order: 33
0.0023300 -0.0050600
# point_type: real; original_order: 34
0.0106500 -0.0098800
# point_type: real; original_order: 35
0.0241900 -0.0142000
# point_type: augmented; method: linear_interpolation; between_original: 35-36; t: 0.500000
0.0335500 -0.0159800
# point_type: real; original_order: 36
0.0429100 -0.0177600
# point_type: augmented; method: linear_interpolation; between_original: 36-37; t: 0.500000
0.0548000 -0.0191450
# point_type: real; original_order: 37
0.0666900 -0.0205300
# point_type: augmented; method: linear_interpolation; between_original: 37-38; t: 0.500000
0.0810150 -0.0215250
# point_type: real; original_order: 38
0.0953400 -0.0225200
# point_type: augmented; method: linear_interpolation; between_original: 38-39; t: 0.500000
0.1119900 -0.0231500
# point_type: real; original_order: 39
0.1286400 -0.0237800
# point_type: augmented; method: linear_interpolation; between_original: 39-40; t: 0.500000
0.1474550 -0.0240700
# point_type: real; original_order: 40
0.1662700 -0.0243600
# point_type: augmented; method: linear_interpolation; between_original: 40-41; t: 0.500000
0.1870500 -0.0243550
# point_type: real; original_order: 41
0.2078300 -0.0243500
# point_type: augmented; method: linear_interpolation; between_original: 41-42; t: 0.500000
0.2303650 -0.0240950
# point_type: real; original_order: 42
0.2529000 -0.0238400
# point_type: augmented; method: linear_interpolation; between_original: 42-43; t: 0.500000
0.2769350 -0.0233800
# point_type: real; original_order: 43
0.3009700 -0.0229200
# point_type: augmented; method: linear_interpolation; between_original: 43-44; t: 0.333333
0.3178100 -0.0225067
# point_type: augmented; method: linear_interpolation; between_original: 43-44; t: 0.666667
0.3346500 -0.0220933
# point_type: real; original_order: 44
0.3514900 -0.0216800
# point_type: augmented; method: linear_interpolation; between_original: 44-45; t: 0.333333
0.3689533 -0.0211900
# point_type: augmented; method: linear_interpolation; between_original: 44-45; t: 0.666667
0.3864167 -0.0207000
# point_type: real; original_order: 45
0.4038800 -0.0202100
# point_type: augmented; method: linear_interpolation; between_original: 45-46; t: 0.333333
0.4217567 -0.0196700
# point_type: augmented; method: linear_interpolation; between_original: 45-46; t: 0.666667
0.4396333 -0.0191300
# point_type: real; original_order: 46
0.4575100 -0.0185900
# point_type: augmented; method: linear_interpolation; between_original: 46-47; t: 0.333333
0.4755867 -0.0180233
# point_type: augmented; method: linear_interpolation; between_original: 46-47; t: 0.666667
0.4936633 -0.0174567
# point_type: real; original_order: 47
0.5117400 -0.0168900
# point_type: augmented; method: linear_interpolation; between_original: 47-48; t: 0.333333
0.5297967 -0.0163133
# point_type: augmented; method: linear_interpolation; between_original: 47-48; t: 0.666667
0.5478533 -0.0157367
# point_type: real; original_order: 48
0.5659100 -0.0151600
# point_type: augmented; method: linear_interpolation; between_original: 48-49; t: 0.333333
0.5837333 -0.0145900
# point_type: augmented; method: linear_interpolation; between_original: 48-49; t: 0.666667
0.6015567 -0.0140200
# point_type: real; original_order: 49
0.6193800 -0.0134500
# point_type: augmented; method: linear_interpolation; between_original: 49-50; t: 0.333333
0.6367500 -0.0129000
# point_type: augmented; method: linear_interpolation; between_original: 49-50; t: 0.666667
0.6541200 -0.0123500
# point_type: real; original_order: 50
0.6714900 -0.0118000
# point_type: augmented; method: linear_interpolation; between_original: 50-51; t: 0.500000
0.6965450 -0.0110150
# point_type: real; original_order: 51
0.7216000 -0.0102300
# point_type: augmented; method: linear_interpolation; between_original: 51-52; t: 0.500000
0.7453550 -0.0094950
# point_type: real; original_order: 52
0.7691100 -0.0087600
# point_type: augmented; method: linear_interpolation; between_original: 52-53; t: 0.500000
0.7912700 -0.0080800
# point_type: real; original_order: 53
0.8134300 -0.0074000
# point_type: augmented; method: linear_interpolation; between_original: 53-54; t: 0.500000
0.8337150 -0.0067700
# point_type: real; original_order: 54
0.8540000 -0.0061400
# point_type: augmented; method: linear_interpolation; between_original: 54-55; t: 0.500000
0.8721700 -0.0055550
# point_type: real; original_order: 55
0.8903400 -0.0049700
# point_type: augmented; method: linear_interpolation; between_original: 55-56; t: 0.500000
0.9061450 -0.0043850
# point_type: real; original_order: 56
0.9219500 -0.0038000
# point_type: augmented; method: linear_interpolation; between_original: 56-57; t: 0.500000
0.9352750 -0.0031600
# point_type: real; original_order: 57
0.9486000 -0.0025200
# point_type: augmented; method: linear_interpolation; between_original: 57-58; t: 0.500000
0.9593850 -0.0018850
# point_type: real; original_order: 58
0.9701700 -0.0012500
# point_type: augmented; method: linear_interpolation; between_original: 58-59; t: 0.500000
0.9782600 -0.0008050
# point_type: real; original_order: 59
0.9863500 -0.0003600
# point_type: real; original_order: 60
0.9965100 -0.0000300
# point_type: real; original_order: 61
1.0000000 0.0000000
