anomaly_id,perf_id,airfoil_id,version_id,rule_type,detail
1,95,ag04,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
2,106,ag04,1,negative_cd,Injected synthetic anomaly for data governance experiment
3,144,ag08,1,extreme_cl,Injected synthetic anomaly for data governance experiment
4,293,ag10,1,negative_cd,Injected synthetic anomaly for data governance experiment
5,516,ag14,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
6,672,b737a,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
7,869,b737d,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
8,1211,e193,1,extreme_cl,Injected synthetic anomaly for data governance experiment
9,1229,e193,1,negative_cd,Injected synthetic anomaly for data governance experiment
10,1538,e593,1,extreme_cl,Injected synthetic anomaly for data governance experiment
11,1629,fx60126,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
12,1715,fx61184,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
13,1793,fx63137,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
14,1809,fx66196v,1,negative_cd,Injected synthetic anomaly for data governance experiment
15,1889,fx67k150,1,negative_cd,Injected synthetic anomaly for data governance experiment
16,1933,fx71l150,1,extreme_cl,Injected synthetic anomaly for data governance experiment
17,2055,fx79k144,1,negative_cd,Injected synthetic anomaly for data governance experiment
18,2256,lrn1015,1,extreme_cl,Injected synthetic anomaly for data governance experiment
19,2277,lrn1015,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
20,2317,mh114,1,negative_cd,Injected synthetic anomaly for data governance experiment
21,2335,mh114,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
22,2593,n63212,1,negative_cd,Injected synthetic anomaly for data governance experiment
23,2653,n64212,1,negative_cd,Injected synthetic anomaly for data governance experiment
24,2682,n64212,1,extreme_cl,Injected synthetic anomaly for data governance experiment
25,2787,naca0015,1,negative_cd,Injected synthetic anomaly for data governance experiment
26,2922,naca23012,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
27,3021,naca23018,1,extreme_cl,Injected synthetic anomaly for data governance experiment
28,3089,naca23021,1,extreme_cl,Injected synthetic anomaly for data governance experiment
29,3117,naca23021,1,extreme_cl,Injected synthetic anomaly for data governance experiment
30,3146,naca2412,1,negative_cd,Injected synthetic anomaly for data governance experiment
31,3166,naca2412,1,negative_cd,Injected synthetic anomaly for data governance experiment
32,3232,naca2415,1,extreme_cl,Injected synthetic anomaly for data governance experiment
33,3424,raf15,1,extreme_cl,Injected synthetic anomaly for data governance experiment
34,3622,rg15,1,extreme_cl,Injected synthetic anomaly for data governance experiment
35,3804,s3021,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
36,3857,s4061,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
37,4000,sd7003,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
38,4078,sd7037,1,extreme_ld_ratio,Injected synthetic anomaly for data governance experiment
39,4089,sm701,1,extreme_cl,Injected synthetic anomaly for data governance experiment
