perf_id,airfoil_id,version_id,alpha_deg,reynolds_number,cl,cd,cm,source_type,is_anomaly
1,ag03,1,-10,50000,-0.919274,0.032051,-0.014803,generated_synthetic,0
2,ag03,1,-8,50000,-0.762024,0.023517,-0.019527,generated_synthetic,0
3,ag03,1,-6,50000,-0.553343,0.016376,-0.023342,generated_synthetic,0
4,ag03,1,-4,50000,-0.369307,0.011875,-0.026761,generated_synthetic,0
5,ag03,1,-2,50000,-0.189329,0.009109,-0.030897,generated_synthetic,0
6,ag03,1,0,50000,0.000000,0.008010,-0.035177,generated_synthetic,0
7,ag03,1,2,50000,0.186119,0.009334,-0.039019,generated_synthetic,0
8,ag03,1,4,50000,0.363996,0.011791,-0.043258,generated_synthetic,0
9,ag03,1,6,50000,0.568459,0.016818,-0.047728,generated_synthetic,0
10,ag03,1,8,50000,0.772831,0.022967,-0.051236,generated_synthetic,0
11,ag03,1,10,50000,0.939747,0.031147,-0.055092,generated_synthetic,0
12,ag03,1,12,50000,1.157131,0.043493,-0.060338,generated_synthetic,0
13,ag03,1,14,50000,1.058595,0.049669,-0.062245,generated_synthetic,0
14,ag03,1,16,50000,1.041972,0.056800,-0.067673,generated_synthetic,0
15,ag03,1,18,50000,1.035765,0.065262,-0.071658,generated_synthetic,0
16,ag03,1,-10,100000,-0.976405,0.031765,-0.015293,generated_synthetic,0
17,ag03,1,-8,100000,-0.773041,0.024497,-0.018664,generated_synthetic,0
18,ag03,1,-6,100000,-0.586731,0.016586,-0.023217,generated_synthetic,0
19,ag03,1,-4,100000,-0.391411,0.011678,-0.027133,generated_synthetic,0
20,ag03,1,-2,100000,-0.188773,0.009268,-0.031250,generated_synthetic,0
21,ag03,1,0,100000,0.000000,0.008160,-0.034828,generated_synthetic,0
22,ag03,1,2,100000,0.191408,0.008884,-0.038989,generated_synthetic,0
23,ag03,1,4,100000,0.390304,0.011916,-0.044614,generated_synthetic,0
24,ag03,1,6,100000,0.595525,0.017052,-0.046788,generated_synthetic,0
25,ag03,1,8,100000,0.786096,0.023871,-0.050469,generated_synthetic,0
26,ag03,1,10,100000,0.979446,0.030807,-0.056321,generated_synthetic,0
27,ag03,1,12,100000,1.183449,0.040293,-0.058537,generated_synthetic,0
28,ag03,1,14,100000,1.120083,0.050385,-0.061055,generated_synthetic,0
29,ag03,1,16,100000,1.087865,0.059823,-0.067693,generated_synthetic,0
30,ag03,1,18,100000,1.047062,0.061511,-0.073205,generated_synthetic,0
31,ag03,1,-10,200000,-0.992982,0.033127,-0.015106,generated_synthetic,0
32,ag03,1,-8,200000,-0.818954,0.024641,-0.019430,generated_synthetic,0
33,ag03,1,-6,200000,-0.611655,0.016192,-0.022755,generated_synthetic,0
34,ag03,1,-4,200000,-0.401486,0.011759,-0.026777,generated_synthetic,0
35,ag03,1,-2,200000,-0.204482,0.008876,-0.030474,generated_synthetic,0
36,ag03,1,0,200000,0.000000,0.008450,-0.035684,generated_synthetic,0
